Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
Hillary Clinton,1,46.0,18,36,Simplicity,12,0.16,-464.7409875668262,1,0.1111111111111111
Hillary Clinton,2,40.77777777777778,18,36,Simplicity,11,0.16,-468.2623695512112,1,0.12962962962962965
Hillary Clinton,3,52.033088235294116,18,36,Simplicity,12,0.16,-467.1651095514528,1,0.11728395061728394
Hillary Clinton,4,52.033088235294116,18,36,Simplicity,12,0.16,-465.05882049104434,1,0.11728395061728394
Hillary Clinton,5,60.22222222222222,18,36,Simplicity,13,0.16,-464.73851383258705,1,0.09876543209876543
Hillary Clinton,6,42.56944444444444,18,36,Simplicity,14,0.16,-461.90147677463716,1,0.08641975308641975
Hillary Clinton,7,42.56944444444444,18,36,Simplicity,14,0.16,-461.90147677463716,1,0.08641975308641975
Hillary Clinton,8,46.0,18,36,Simplicity,12,0.16,-462.1382978813818,1,0.1111111111111111
Hillary Clinton,9,42.56944444444444,18,36,Simplicity,14,0.16,-461.90147677463716,1,0.08641975308641975
Donald Trump,1,22.75,8,36,Simplicity,7,0.16,-211.72033089466427,1,0.15625
Donald Trump,2,32.5,8,36,Simplicity,8,0.16,-210.2309909040097,1,0.125
Donald Trump,3,32.5,8,36,Simplicity,8,0.16,-210.2309909040097,1,0.125
Donald Trump,4,32.5,8,36,Simplicity,8,0.16,-210.2309909040097,1,0.125
Donald Trump,5,32.5,8,36,Simplicity,8,0.16,-210.2309909040097,1,0.125
Donald Trump,6,32.5,8,36,Simplicity,8,0.16,-210.2309909040097,1,0.125
Donald Trump,7,32.5,8,36,Simplicity,8,0.16,-210.2309909040097,1,0.125
Donald Trump,8,32.5,8,36,Simplicity,8,0.16,-210.2309909040097,1,0.125
Donald Trump,9,32.5,8,36,Simplicity,8,0.16,-210.2309909040097,1,0.125
Joe Biden,1,11.787878787878789,11,36,Simplicity,8,0.16,-282.5896010375101,1,0.14049586776859505
Joe Biden,2,24.363636363636363,11,36,Simplicity,8,0.16,-283.8213612856722,1,0.15702479338842976
Joe Biden,3,11.787878787878789,11,36,Simplicity,8,0.16,-282.5896010375101,1,0.14049586776859505
Joe Biden,4,10.636363636363637,11,36,Simplicity,7,0.16,-283.3296998074602,1,0.17355371900826444
Joe Biden,5,20.136363636363637,11,36,Simplicity,9,0.16,-283.0812625157221,1,0.12396694214876033
Joe Biden,6,10.636363636363637,11,36,Simplicity,7,0.16,-283.3296998074602,1,0.17355371900826444
Joe Biden,7,10.636363636363637,11,36,Simplicity,7,0.16,-283.3296998074602,1,0.17355371900826444
