participantID,wordSetID,rt,word,button_pressed,response_r,response_g,response_b,response_munsell,trial_index,time_elapsed,condition
77,1,3253.7049999809824,weariness,6,216,232,240,10B9/2,24,129477,block1_target_trial
491,1,2149.2300000973046,anxiety,55,190,26,52,5R4/14,111,831052,block2_target_trial
448,1,6772.30499999132,bracelet,13,252,190,0,5Y8/14,29,1197555,block1_target_trial
482,1,3326.18000000366,sanity,17,158,211,223,5B8/4,105,378419,block2_target_trial
271,1,3324.064999993425,bread,2,238,234,140,10Y9/6,58,316302,block2_target_trial
489,1,4159.999999916181,reality,47,54,142,15,10GY5/12,83,465702,block2_target_trial
588,1,1146.344999957364,shyness,27,29,194,202,10BG7/8,79,258657,block2_target_trial
42,1,3119,trouble,55,190,26,52,5R4/14,90,326256,block2_target_trial
264,1,44604.55000001821,magazine,32,181,182,181,N7,110,633497,block2_target_trial
113,1,2535.904999997001,anxiety,61,0,121,148,5B4/10,69,880572,block2_target_trial
448,1,3746.515000006184,trouble,77,99,14,38,5R2/8,30,1201807,block1_target_trial
77,1,6871.419999981299,anxiety,44,216,65,0,10R5/16,25,136865,block1_target_trial
482,1,2535.53500000271,train,54,136,137,135,N5,107,383229,block2_target_trial
489,1,2429.0000000037253,bunkbed,62,0,113,178,5PB4/12,85,470320,block2_target_trial
365,1,12014,sanity,47,54,142,15,10GY5/12,125,771962,block2_target_trial
588,1,1806.985000032,freedom,30,218,156,201,10P7/8,81,263366,block2_target_trial
491,1,4928.474999964237,cabinet,67,100,65,8,10YR3/6,113,839836,block2_target_trial
448,1,4569.560000003548,passion,41,170,136,191,5P6/8,31,1206897,block1_target_trial
482,1,1654.8650000186171,bread,45,170,103,0,10YR5/10,109,387152,block2_target_trial
489,1,1543.999999994412,trouble,74,118,39,110,10P3/10,87,474321,block2_target_trial
588,1,2069.260000018403,weariness,44,216,65,0,10R5/16,83,269360,block2_target_trial
448,1,2939.354999995092,flag,72,0,79,142,10B3/10,32,1210344,block1_target_trial
482,1,1731.8800000066403,mirror,21,202,202,202,N8,111,391142,block2_target_trial
491,1,2807.3549999389797,tree,56,146,80,27,5YR4/8,115,846402,block2_target_trial
489,1,1521.0000001825392,diner,57,116,95,21,5Y4/6,89,477846,block2_target_trial
271,1,7263.179999994463,tie,72,0,79,142,10B3/10,60,328942,block2_target_trial
264,1,7579.360000003362,noun,31,238,151,162,10RP7/8,112,645037,block2_target_trial
365,1,7310,magic,8,237,227,233,10P9/2,127,782231,block2_target_trial
113,1,5614.415000018198,bread,34,231,111,0,5YR6/14,71,893305,block2_target_trial
482,1,1759.105000004638,toast,45,170,103,0,10YR5/10,113,395111,block2_target_trial
77,1,11903.090000036173,discomfort,55,190,26,52,5R4/14,26,149292,block1_target_trial
